cpu,freq,fan,load,temp
57.8,2.78,3120,261,62.0
55.4,2.99,3153,261,65.0
87.5,3.04,3238,263,66.0
74.3,2.99,3395,263,67.0
97.5,3.03,3557,265,67.0
58.1,3.07,3568,265,65.0
80.3,2.99,3557,265,66.0
68.8,3.04,3525,266,68.0
80.4,3.04,3525,266,68.0
75.6,3.03,3525,266,69.0
58.4,3.09,3525,266,68.0
46.2,2.6,3547,266,66.0
41.6,1.93,3527,266,68.0
41.7,2.99,3530,266,67.0
86.7,2.95,3533,266,68.0
86.5,3.04,3536,267,66.0
34.1,1.94,3538,268,66.0
41.5,2.73,3538,268,66.0
47.6,3.04,3541,268,66.0
36.5,1.94,3543,268,66.0
33.8,1.95,3546,268,69.0
39.8,3.04,3546,268,69.0
73.2,2.92,3546,268,69.0
81.8,2.99,3546,269,71.0
91.0,2.92,3546,269,70.0
78.1,2.99,3546,268,70.0
74.2,2.99,3546,268,70.0
69.8,3.07,3546,268,71.0
38.8,2.44,3546,268,70.0
28.4,2.5,3549,268,70.0
27.7,1.96,3552,268,70.0
28.4,2.62,3547,268,70.0
40.7,1.93,3536,268,70.0
34.0,1.94,3568,268,69.0
26.2,1.98,3633,268,70.0
27.5,1.96,3758,269,70.0
28.4,1.97,3931,269,70.0
32.4,1.94,4024,269,69.0
30.3,1.94,4065,270,69.0
26.3,1.94,4051,270,69.0
27.6,1.94,4038,271,69.0
29.5,1.94,4024,271,70.0
33.3,1.94,4024,271,70.0
27.9,1.94,4024,271,69.0
26.4,1.94,4024,271,69.0
26.5,1.94,4024,271,69.0
27.6,1.94,4024,270,69.0
27.9,1.97,4024,270,67.0
25.9,1.94,4024,270,67.0
32.4,2.06,4024,270,66.0
33.3,2.67,4024,270,66.0
18.8,0.8,4027,269,63.0
19.5,2.21,4027,269,65.0
27.7,2.6,4027,269,68.0
35.0,2.87,4031,269,66.0
51.4,2.57,4031,268,64.0
31.5,1.46,4031,268,62.0
20.8,2.82,4031,268,66.0
48.0,2.19,4031,268,66.0
36.5,2.85,4034,268,63.0
13.6,0.8,4034,268,60.0
22.3,0.8,4038,268,61.0
19.5,0.8,4041,268,60.0
25.9,2.68,4041,268,64.0
31.1,1.43,4041,268,61.0
18.5,0.88,4041,268,60.0
27.9,1.39,4041,268,60.0
12.3,0.8,4041,268,59.0
15.7,1.43,4038,268,60.0
43.7,2.67,3958,268,66.0
44.3,2.99,3794,268,64.0
64.7,3.06,3621,270,65.0
48.1,3.11,3546,269,65.0
31.8,1.91,3515,269,61.0
27.8,2.52,3505,269,62.0
19.1,2.45,3515,269,62.0
26.5,2.9,3505,270,65.0
24.1,0.91,3515,270,62.0
23.7,1.33,3510,270,62.0
21.4,1.43,3510,270,58.0
20.6,0.95,3512,270,60.0
20.3,0.8,3512,270,58.0
16.5,0.8,3515,270,58.0
16.3,0.93,3515,270,58.0
15.4,0.8,3517,270,58.0
19.9,1.44,3520,270,59.0
21.9,0.8,3520,270,58.0
23.3,0.84,3520,270,58.0
25.2,1.91,3520,270,58.0
24.8,1.46,3522,270,58.0
30.8,1.12,3520,270,57.0
24.2,1.53,3517,270,57.0
9.0,0.85,3517,270,57.0
10.7,0.8,3517,270,56.0
6.8,0.8,3517,270,56.0
8.4,1.26,3517,270,56.0
6.5,0.88,3517,270,55.0
6.3,0.82,3517,270,54.0
17.3,1.71,3517,270,57.0
35.1,1.31,3515,270,57.0
15.8,0.8,3515,269,57.0
8.2,0.8,3515,269,57.0
5.1,0.87,3515,269,57.0
3.8,1.4,3517,269,54.0
4.9,1.04,3520,269,56.0
21.0,1.4,3520,269,54.0
14.3,1.18,3520,269,56.0
16.7,1.19,3520,269,56.0
30.8,2.09,3517,269,57.0
32.5,1.1,3515,269,57.0
26.3,2.95,3515,269,59.0
15.9,0.88,3515,269,57.0
18.1,0.8,3515,268,55.0
15.1,1.4,3515,268,55.0
30.6,2.12,3515,269,58.0
22.9,0.9,3512,269,55.0
29.8,1.35,3512,269,57.0
21.6,1.26,3512,269,55.0
22.7,0.91,3512,269,56.0
21.4,1.43,3512,269,55.0
20.1,0.91,3515,269,56.0
